PRODUTO	PREÇO	LOCALIDADE	PÁGINA NA LOJA
Sala Comercial - Centro Joinville - 11° Andar	R$330.000,00	Joinville, América	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-centro-joinville-11-andar-1377935767
Galpão em laguna	R$4.800,00	Laguna	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/galpao-em-laguna-1292356816
Loja Balneário Shopping IMPERDÍVEL	R$450.000,00	Balneário Camboriú, Estados	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/loja-balneario-shopping-imperdivel-1341817776
Loja de Conveniência e Bar - Excelente Ponto Quadra Mar	R$160.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/loja-de-conveniencia-e-bar-excelente-ponto-quadra-mar-1380269192
Terreno com Área Total de 5.552m² em Jaraguá do Sul, SC	R$550.000,00	Jaraguá do Sul, Nereu Ramos	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/terreno-com-area-total-de-5-552m-em-jaragua-do-sul-sc-1387402441
Sala para locação	R$1.200,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-para-locacao-1387400078
Aluguel de sala	----	Joinville, Jardim Iririú	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/aluguel-de-sala-1387398322
Sala comercial para locação no bairro Itoupava Seca próximo ao campus II da FURB	R$1.600,00	Blumenau, Itoupava Seca	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-para-locacao-no-bairro-itoupava-seca-proximo-ao-campus-ii-da-furb-1387398002
Galpão Comercial/Industrial para locação em Indaial	R$7.200,00	Indaial	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-comercial-industrial-para-locacao-em-indaial-1387397665
Sala Comercial de 27m² à venda no Pagani	R$199.000,00	Palhoça, Passa Vinte	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-de-27m-a-venda-no-pagani-1387391817
Sala comercial de 39,22m² à venda no Passeio Pedra Branca	R$400.000,00	Palhoça, Pedra Branca	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-de-39-22m-a-venda-no-passeio-pedra-branca-1387391646
Sala Comercial BLUMENAU SC	R$680,00	Blumenau, Glória	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-blumenau-sc-1387391426
Sala Comercial - 02 Pavimento - Comercial Biguaçu Towers	R$1.700,00	Biguaçu, Rio Caveiras	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-02-pavimento-comercial-biguacu-towers-1387381255
Sala à venda por R$ 190000.00, 34.10 m2 - CENTRO - FLORIANOPOLIS/SC	R$190.000,00	Florianópolis, Centro	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-a-venda-por-r-190000-00-34-10-m2-centro-florianopolis-sc-1387379417
Galpão em Camburiú para locação com 325m²	R$7.500,00	Brusque, Santa Rita	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-em-camburiu-para-locacao-com-325m-1387378518
Galpão Venda/Locação Itoupava Norte Blumenau - 5.350m²	R$15.000.000,00	Blumenau, Itoupava Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-venda-locacao-itoupava-norte-blumenau-5-350m-1387378481
Aluguel de Sala Comercial/Escritório de 733 m² no Centro de Blumenau	R$10.000,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/aluguel-de-sala-comercial-escritorio-de-733-m-no-centro-de-blumenau-1387378476
Galpão para Locação 5.000 m² com fácil acesso à BR-470 Blumenau	R$75.000,00	Blumenau, Salto Weissbach	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-5-000-m-com-facil-acesso-a-br-470-blumenau-1387378275
Galpão para locação/Venda no bairro Valparaíso - Blumenau	R$18.000.000,00	Blumenau, Valparaiso	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-venda-no-bairro-valparaiso-blumenau-1387378264
